De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude
2012660,"Denamona Primary School, Fintona",Fintona,BT78 2BN,Controlled,West Tyrone,RURAL,78.0,54.497618,-7.312571
2012669,"Queen Elizabeth II Primary School, Kilskeery",Trillick,BT78 3RJ,Controlled,West Tyrone,RURAL,38.0,54.442087,-7.538532
2012671,"Langfield Primary School, Drumquin",Drumquin,BT78 4PG,Controlled,West Tyrone,RURAL,18.0,54.616985,-7.493971
2012691,Omagh County Primary School,Omagh,BT79 0AJ,Controlled,West Tyrone,URBAN,376.0,54.600998,-7.292169
2012707,"Dromore Primary School, Tyrone",Dromore,BT78 3EE,Controlled,West Tyrone,RURAL,38.0,54.510784,-7.454496
2012708,Strabane Primary School,Strabane,BT82 8DX,Controlled,West Tyrone,URBAN,272.0,54.83205,-7.461078
2012711,"Donemana Primary School, Strabane",Dunnamanagh,BT82 0PH,Controlled,West Tyrone,RURAL,101.0,54.877979,-7.302308
2016003,"Jones Memorial Primary School, Enniskillen",Enniskillen,BT74 5QF,Controlled,Fermanagh And South Tyrone,URBAN,136.0,54.328868,-7.656817
2016029,"Drumachose Primary School, Limavady",Limavady,BT49 0BS,Controlled,East Londonderry,URBAN,410.0,55.051176,-6.94439
2016068,"Artigarvan Primary School, Strabane",Artigarvan,BT82 0HN,Controlled,West Tyrone,RURAL,170.0,54.855847,-7.407479
2016071,Greenhaw Primary School,Londonderry,BT48 8BA,Controlled,Foyle,URBAN,321.0,55.021889,-7.317524
2016089,"Gibson Primary School, Omagh",Omagh,BT79 7EG,Controlled,West Tyrone,URBAN,303.0,54.604154,-7.29572
2016102,Tempo Primary School,Tempo,BT94 3LU,Controlled,Fermanagh And South Tyrone,RURAL,84.0,54.377149,-7.461287
2016124,"Ashlea S, Tullyally",Londonderry,BT47 3QT,Controlled,Foyle,URBAN,101.0,54.973507,-7.287503
2016127,Maguiresbridge Primary School,Maguiresbridge,BT94 4PJ,Controlled,Fermanagh And South Tyrone,RURAL,122.0,54.301344,-7.481555
2016151,Irvinestown Primary School,Irvinestown,BT94 1DY,Controlled,Fermanagh And South Tyrone,RURAL,173.0,54.472202,-7.642599
2016152,Enniskillen Model Primary School,Enniskillen,BT74 6HZ,Controlled,Fermanagh And South Tyrone,URBAN,426.0,54.341467,-7.62221
2016184,"Lack Primary School, Enniskillen",Lack,BT93 0BU,Controlled,Fermanagh And South Tyrone,RURAL,22.0,54.546551,-7.579352
2016203,Lisnagelvin Primary School,Londonderry,BT47 5QZ,Controlled,Foyle,URBAN,572.0,54.99271,-7.290194
2016218,Lisbellaw Primary School,Lisbellaw,BT94 5BF,Controlled,Fermanagh And South Tyrone,RURAL,199.0,54.313563,-7.541601
2016262,Newtownstewart Model Primary School,Newtownstewart,BT78 4EX,Controlled,West Tyrone,RURAL,70.0,54.717583,-7.393252
2016372,Cumber Claudy Primary School,Claudy,BT47 4HX,Controlled,East Londonderry,RURAL,147.0,54.911407,-7.16597
2016395,"Gortin Primary School, Omagh",Gortin,BT79 8NJ,Controlled,West Tyrone,RURAL,63.0,54.719246,-7.23623
2016426,Limavady Central Primary School,Limavady,BT49 0NB,Controlled,East Londonderry,URBAN,316.0,55.040775,-6.937312
2016564,"Fountain Primary School, Londonderry",Londonderry,BT48 6RE,Controlled,Foyle,URBAN,77.0,54.992945,-7.320312
2016645,"Bready Jubilee Primary School, Strabane",Bready,BT82 0DN,Controlled,West Tyrone,RURAL,121.0,54.922304,-7.424609
2016656,"Drumrane Primary School, Dungiven",Dungiven,BT47 4NL,Controlled,East Londonderry,RURAL,141.0,54.969592,-6.939161
2016663,"Cooley Primary School, Sixmilecross",Sixmilecross,BT79 9DH,Controlled,West Tyrone,RURAL,90.0,54.556212,-7.124179
2016700,"Gaelscoil Neachtain, Dungiven",Dungiven,BT47 4RF,Controlled,East Londonderry,RURAL,154.0,54.960912,-6.920609
2016701,Ardstraw Jubilee Primary School,Newtownstewart,BT78 4LA,Controlled,West Tyrone,RURAL,88.0,54.730514,-7.437064
2030364,Rosemount Primary School,Londonderry,BT48 9DD,Catholic Maintained,Foyle,URBAN,375.0,55.00123,-7.333908
2030373,Nazareth House Primary School,Londonderry,BT48 6UN,Catholic Maintained,Foyle,URBAN,228.0,54.990118,-7.328968
2030381,"Holy Child Primary School, Derry",Londonderry,BT48 9QQ,Catholic Maintained,Foyle,URBAN,324.0,54.995642,-7.345406
2031828,"St Patrick's Primary School, Mullanaskea",Tempo,BT94 3AD,Catholic Maintained,Fermanagh And South Tyrone,RURAL,175.0,54.354685,-7.561968
2031863,"Tattygar Primary School, Lisbellaw",Lisbellaw,BT94 5GT,Catholic Maintained,Fermanagh And South Tyrone,RURAL,59.0,54.323129,-7.534164
2031868,"St Tierney's Primary School, Roslea",Rosslea,BT92 7JS,Catholic Maintained,Fermanagh And South Tyrone,RURAL,120.0,54.244237,-7.179598
2031869,"St Mary's Primary School, Newtownbutler",Newtownbutler,BT92 8JJ,Catholic Maintained,Fermanagh And South Tyrone,RURAL,176.0,54.176603,-7.361462
2031874,"St Patrick's Primary School, Derrygonnelly",Derrygonnelly,BT93 6LR,Catholic Maintained,Fermanagh And South Tyrone,RURAL,129.0,54.423359,-7.825537
2031876,"St Mary's Primary School, Brookeborough",Brookeborough,BT94 4HY,Catholic Maintained,Fermanagh And South Tyrone,RURAL,65.0,54.31662,-7.402704
2031880,"St Ninnidh's Primary School, Derrylin",Derrylin,BT92 9JZ,Catholic Maintained,Fermanagh And South Tyrone,RURAL,143.0,54.195598,-7.586252
2031884,"St Mary's Primary School, Killesher",Enniskillen,BT92 3ET,Catholic Maintained,Fermanagh And South Tyrone,RURAL,86.0,54.255454,-7.69017
2031887,"St John the Baptist Primary School, Roscor",Belleek,BT93 3DP,Catholic Maintained,Fermanagh And South Tyrone,RURAL,22.0,54.466277,-8.0356
2031890,"St Mary's Primary School, Mullymesker",Bellanaleck,BT92 2AB,Catholic Maintained,Fermanagh And South Tyrone,RURAL,136.0,54.290964,-7.669003
2031895,"St Mary's Primary School, Maguiresbridge",Maguiresbridge,BT94 4RG,Catholic Maintained,Fermanagh And South Tyrone,RURAL,157.0,54.289934,-7.464837
2031897,"Killyhommon Primary School, Enniskillen",Enniskillen,BT74 8BZ,Catholic Maintained,Fermanagh And South Tyrone,RURAL,72.0,54.363873,-7.803884
2031898,"St Paul's Primary School, Irvinestown",Irvinestown,BT94 1EY,Catholic Maintained,Fermanagh And South Tyrone,RURAL,232.0,54.474003,-7.646918
2031901,"St Ronan's Primary School, Lisnaskea",Lisnaskea,BT92 0LA,Catholic Maintained,Fermanagh And South Tyrone,RURAL,355.0,54.260906,-7.452585
2032212,Glendermott Primary School,Londonderry,BT47 3QZ,Catholic Maintained,Foyle,RURAL,199.0,54.965896,-7.266061
2032263,"St Canice's Primary School, Feeny",Feeny,BT47 4TW,Catholic Maintained,East Londonderry,RURAL,96.0,54.8857,-7.015088
2032278,"Broadbridge Primary School, Eglinton",Londonderry,BT47 3PG,Catholic Maintained,Foyle,RURAL,403.0,55.027708,-7.179036
2032286,"St Matthew's Primary School, Drumsurn",Limavady,BT49 0PX,Catholic Maintained,East Londonderry,RURAL,108.0,54.985183,-6.856552
2032287,"Termoncanice Primary School, Limavady",Limavady,BT49 9BH,Catholic Maintained,East Londonderry,URBAN,502.0,55.046781,-6.951358
2032294,"St Mary's Primary School, Altinure",Claudy,BT47 4DP,Catholic Maintained,East Londonderry,RURAL,124.0,54.867191,-7.077576
2032573,"St Brigid's Primary School, Altamuskin",Sixmilecross,BT79 9JA,Catholic Maintained,West Tyrone,RURAL,48.0,54.524815,-7.085406
2032603,"Tummery Primary School, Dromore",Dromore,BT78 3JZ,Catholic Maintained,West Tyrone,RURAL,40.0,54.494715,-7.522985
2032607,"St Mary's Primary School, Killyclogher",Omagh,BT79 7LT,Catholic Maintained,West Tyrone,URBAN,332.0,54.60895,-7.269869
2032628,"Knocknagor Primary School, Trillick",Trillick,BT78 3TX,Catholic Maintained,West Tyrone,RURAL,49.0,54.492553,-7.554537
2032662,"St Brigid's Primary School, Mountfield",Mountfield,BT79 7PT,Catholic Maintained,West Tyrone,RURAL,62.0,54.651132,-7.172937
2032676,"St Patrick's Primary School, Gortin",Gortin,BT79 8PU,Catholic Maintained,West Tyrone,RURAL,84.0,54.716106,-7.228345
2032682,"St Eugene's Primary School, Victoria Bridge",Victoria Bridge,BT82 9JH,Catholic Maintained,West Tyrone,RURAL,73.0,54.759388,-7.457354
2032684,"St Lawrence's Primary School, Fintona",Fintona,BT78 2NR,Catholic Maintained,West Tyrone,RURAL,237.0,54.493603,-7.323812
2032685,"St Brigid's Primary School, Cranagh",Plumbridge,BT79 8LR,Catholic Maintained,West Tyrone,RURAL,25.0,54.780986,-7.08428
2032688,"St Eugene's Primary School, Tircur",Omagh,BT79 7SN,Catholic Maintained,West Tyrone,RURAL,18.0,54.676899,-7.283284
2032694,"St Caireall's Primary School, Castlederg",Castlederg,BT81 7XF,Catholic Maintained,West Tyrone,RURAL,133.0,54.689938,-7.70262
2032700,"St Joseph's Primary School, Drumquin",Drumquin,BT78 4QY,Catholic Maintained,West Tyrone,RURAL,144.0,54.611889,-7.488989
2032704,"St Ronan's Primary School, Recarson",Omagh,BT79 0NE,Catholic Maintained,West Tyrone,RURAL,117.0,54.595891,-7.235386
2032705,"St Patrick's Primary School, Eskra",Omagh,BT78 2RJ,Catholic Maintained,West Tyrone,RURAL,112.0,54.484556,-7.201639
2032721,"Sacred Heart Primary School, Tattyreagh",Omagh,BT78 1LA,Catholic Maintained,West Tyrone,RURAL,82.0,54.537255,-7.294308
2032723,"Roscavey Primary School, Beragh",Beragh,BT79 0RE,Catholic Maintained,West Tyrone,RURAL,53.0,54.508016,-7.161058
2032730,"St Columba's Primary School, Clady",Clady,BT82 9QY,Catholic Maintained,West Tyrone,RURAL,93.0,54.793982,-7.530534
2032731,"St Teresa's Primary School, Loughmacrory",Loughmacrory,BT79 9LG,Catholic Maintained,West Tyrone,RURAL,182.0,54.627131,-7.10262
2032737,"St Colmcille's Primary School, Carrickmore",Sixmilecross,BT79 9BE,Catholic Maintained,West Tyrone,RURAL,415.0,54.598316,-7.035423
2033706,"Faughanvale Primary School, Greysteel",Greysteel,BT47 3EE,Catholic Maintained,East Londonderry,RURAL,165.0,55.025393,-7.10922
